MRPL13 MRPL18 1.0
MRPL13 MRPL11 1.0
MRPL13 MRPL9 1.0
MRPL13 MRPL47 1.0
MRPL13 MRPL1 1.0
MRPL13 MRPL2 1.0
MRPL13 MRPL46 1.0
MRPL13 MRPL21 1.0
MRPL13 MRPL41 1.0
VAMP3 SNAP23 1.0
VAMP3 STX3 1.0
VAMP3 STX2 1.0
VAMP3 STX4 1.0
SNAP23 STX1A 1.0
SNAP23 STX3 1.0
SNAP23 STX2 1.0
SNAP23 STX4 1.0
SNAP23 VAMP8 1.0
SNAP23 VAMP2 1.0
STX3 VAMP2 1.0
STX2 VAMP8 1.0
STX2 VAMP2 1.0
RFC2 RFC5 1.0
RFC2 RFC4 1.0
RFC2 PCNA 1.0
RFC2 RAD17 1.0
RFC2 RFC3 1.0
RFC5 PCNA 1.0
RFC5 RFC3 1.0
RFC5 RFC1 1.0
RFC5 RFC4 1.0
RFC4 DSCC1 1.0
RFC4 PRIM1 1.0
RFC4 PCNA 1.0
RFC4 RFC3 1.0
RFC4 RFC1 1.0
PCNA MSH6 1.0
PCNA RPA1 1.0
PCNA LIG1 1.0
PCNA POLD3 1.0
PCNA FEN1 1.0
PCNA POLH 1.0
PCNA CDKN1A 1.0
PCNA RFC3 1.0
RAD17 RFC3 1.0
RFC3 RFC1 1.0
MRPS35 PTCD3 1.0
MRPS35 MRPS31 1.0
MRPS35 MRPS22 1.0
MRPS35 MRPS23 1.0
PTCD3 MRPS31 1.0
PTCD3 MRPS22 1.0
PTCD3 MRPS18B 1.0
PTCD3 MRPS23 1.0
MRPS31 MRPS18B 1.0
MRPS31 MRPS23 1.0
MRPS31 MRPS33 1.0
MRPS22 MRPS18B 1.0
MRPS22 MRPS28 1.0
AQR PRPF19 1.0
AQR EFTUD2 1.0
AQR PLRG1 1.0
AQR XAB2 1.0
AQR CRNKL1 1.0
PRPF19 SNRPD3 1.0
PRPF19 PRPF8 1.0
PRPF19 SF3B3 1.0
PRPF19 SYF2 1.0
PRPF19 SNRPD2 1.0
PRPF19 SNRPE 1.0
PRPF19 CDC5L 1.0
PRPF19 CWC15 1.0
PRPF19 BCAS2 1.0
PRPF19 EFTUD2 1.0
PRPF19 CDC40 1.0
PRPF19 EIF4A3 1.0
PRPF19 PLRG1 1.0
PRPF19 SNRPA1 1.0
PRPF19 SNRNP200 1.0
PRPF19 SNRPF 1.0
PRPF19 SNRPD1 1.0
PRPF19 XAB2 1.0
PRPF19 CRNKL1 1.0
PRPF19 BUD31 1.0
EFTUD2 SNRPD3 1.0
EFTUD2 LSM8 1.0
EFTUD2 SNRPA1 1.0
EFTUD2 SNW1 1.0
EFTUD2 SNRNP40 1.0
EFTUD2 PRPF6 1.0
EFTUD2 SNRPF 1.0
EFTUD2 TXNL4A 1.0
EFTUD2 SNRPG 1.0
EFTUD2 SNRPD1 1.0
EFTUD2 SF3B3 1.0
EFTUD2 SART1 1.0
EFTUD2 DDX23 1.0
EFTUD2 PRPF3 1.0
EFTUD2 SNRNP200 1.0
EFTUD2 PRPF31 1.0
EFTUD2 SF3B1 1.0
EFTUD2 SNRPD2 1.0
EFTUD2 XAB2 1.0
EFTUD2 CDC40 1.0
EFTUD2 BCAS2 1.0
EFTUD2 CDC5L 1.0
EFTUD2 PRPF4 1.0
EFTUD2 CRNKL1 1.0
EFTUD2 BUD31 1.0
EFTUD2 CWC22 1.0
EFTUD2 PRPF8 1.0
EFTUD2 SNRPE 1.0
EFTUD2 PLRG1 1.0
PLRG1 RBM22 1.0
PLRG1 SYF2 1.0
PLRG1 SNRPA1 1.0
PLRG1 SNW1 1.0
PLRG1 HNRNPM 1.0
PLRG1 XAB2 1.0
PLRG1 BCAS2 1.0
PLRG1 CDC5L 1.0
PLRG1 CRNKL1 1.0
PLRG1 PRPF8 1.0
PLRG1 CWC15 1.0
XAB2 RBM22 1.0
XAB2 SYF2 1.0
XAB2 SNRPA1 1.0
XAB2 SNW1 1.0
XAB2 DHX8 1.0
XAB2 SF3B3 1.0
XAB2 SNRNP200 1.0
XAB2 CWC22 1.0
XAB2 CDC5L 1.0
XAB2 BCAS2 1.0
XAB2 CDC40 1.0
XAB2 CRNKL1 1.0
CRNKL1 RBM22 1.0
CRNKL1 SYF2 1.0
CRNKL1 SNW1 1.0
CRNKL1 DHX8 1.0
CRNKL1 SNRNP40 1.0
CRNKL1 SNRNP200 1.0
CRNKL1 CDC40 1.0
CRNKL1 CDC5L 1.0
CRNKL1 PRPF8 1.0
DERL2 VCP 1.0
VCP DERL1 1.0
VCP FAF2 1.0
VCP UFD1L 1.0
VCP NPLOC4 1.0
VCP NSFL1C 1.0
VCP SYVN1 1.0
TNFRSF1A TNF 1.0
TNF TRAF2 1.0
TNF RIPK1 1.0
TNF TRADD 1.0
TNF TAB2 1.0
TNF MAP3K7 1.0
TNF TNFRSF1B 1.0
TNF IKBKG 1.0
TNF IKBKB 1.0
MAD2L1 NDC80 1.0
MAD2L1 CCNA2 1.0
MAD2L1 BUB1B 1.0
MAD2L1 CDK1 1.0
MAD2L1 CDC16 1.0
MAD2L1 CDC20 1.0
MAD2L1 NEK2 1.0
MAD2L1 CDC23 1.0
MAD2L1 ANAPC1 1.0
MAD2L1 MAD1L1 1.0
MAD2L1 BUB3 1.0
MAD2L1 ANAPC4 1.0
MAD2L1 BUB1 1.0
MAD2L1 ANAPC7 1.0
MAD2L1 CDC27 1.0
KEAP1 CUL3 1.0
CUL3 KLHL3 1.0
